SMILES,CAS,logP
CC1N(C)Cn2c1nc1ccccc1c2=O,131229-37-3,0.85
CC1N(C)CN2C1=NC1=CC=CC=C1C2=O,131229-37-3,0.85
[H]C1=C([H])C([H])=C2C(N=C3N(C2=O)C([H])([H])N(C([H])([H])[H])C3([H])C([H])([H])[H])=C1[H],131229-37-3,0.85
CC1N(C)CN2C1=Nc1ccccc1C2=O,131229-37-3,0.85
CN1CN2C(=O)c3ccccc3N=C2C1C,131229-37-3,0.85
CN1Cn2c(=O)c3ccccc3nc2C1C,131229-37-3,0.85
OC1=C2C=NN(COC(=O)C3=CC(CN4CCOCC4)=CC=C3)C2=NC=N1,131402-47-6,1.13
[H]OC1=C2C([H])=NN(C2=NC([H])=N1)C([H])([H])OC(=O)C1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],131402-47-6,1.13
[H]N1C([H])=NC2=C(C([H])=NN2C([H])([H])OC(=O)C2=C([H])C([H])=C([H])C(=C2[H])C([H])([H])N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])C1=O,131402-47-6,1.13
n1cc2c(=O)[nH]cnc2n1COC(=O)c1cc(CN2CCOCC2)ccc1,131402-47-6,1.13
n1cc2C(=O)NC=Nc2n1COC(=O)c3cc(CN4CCOCC4)ccc3,131402-47-6,1.13
O=C(OC[n]1[n]cc2c1N=CNC2=O)c1cc(CN2CCOCC2)ccc1,131402-47-6,1.13
O=C(OCN1N=CC2=C1N=CNC2=O)C1=CC(CN2CCOCC2)=CC=C1,131402-47-6,1.13
[H]N1C([H])=NC(=O)C2=C1N(N=C2[H])C([H])([H])OC(=O)C1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],131402-47-6,1.13
O=C(OCN1N=CC2=C1NC=NC2=O)C1=CC(CN2CCOCC2)=CC=C1,131402-47-6,1.13
[H]N1C([H])=C2C(=NC([H])=NC2=O)N1C([H])([H])OC(=O)C1=C([H])C([H])=C([H])C(=C1[H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H],131402-47-6,1.13
O=C(OCN1NC=C2C1=NC=NC2=O)C1=CC(CN2CCOCC2)=CC=C1,131402-47-6,1.13
CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,131983-72-7,3.29
CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1,131983-72-7,3.29
CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1,131983-72-7,3.29
[H]OC1(\\C(=C(/[H])C2=C([H])C([H])=C(Cl)C([H])=C2[H])C([H])([H])C([H])([H])C1(C([H])([H])[H])C([H])([H])[H])C([H])([H])N1N=C([H])N=C1[H],131983-72-7,3.29
CN=C(S)NCC#CCC(NC(=O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(O)=C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)=C(O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(=NC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(O[H])C([H])(N([H])C(O[H])=C(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(N([H])C([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C(N=C(O[H])C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H],132101-88-3,5.46
CNC(=S)NCC#CCC(N=C(O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)=C(O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C([H])C([H])(O[H])C([H])(N([H])C(O[H])=C(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(N([H])C([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H],132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)=C(O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)CC1=CC=CC2=CC=CC=C12)=C(O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
CNC(S)=NCC#CCC(NC(O)=C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
CN=C(S)NCC#CCC(NC(O)=C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(N([H])C([H])(C(O[H])=NC([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])=C(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(O)=C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(O)=NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(=NC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(O[H])=C(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
CNC(=S)NCC#CCC(NC(O)=C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(O)=NCCN1CCOCC1,132101-88-3,5.46
[H]OC(N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(O[H])=C(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
CNC(=S)NCC#CCC(NC(O)=C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)C=C(O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(=NC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N=C(S[H])N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
CNC(S)=NCC#CCC(N=C(O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(=NC([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N=C(S[H])N([H])C([H])([H])[H],132101-88-3,5.46
[H]OC(=NC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(S[H])=NC([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(=NC([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(S[H])=NC([H])([H])[H],132101-88-3,5.46
[H]OC(N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N=C(S[H])N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(S[H])=NC([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(N([H])C([H])(C(=O)N([H])C([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])=C(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(O)=C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(O)=C(CC1=CC2=CC=CC=C2C=C1)CC1=CC=CC2=CC=CC=C12)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC([H])(C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N=C(S[H])N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
CNC(S)=NCC#CCC(NC(=O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
CNC(S)=NCC#CCC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)CC1=CC=CC2=CC=CC=C12)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC([H])(C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(S[H])=NC([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
CN=C(S)NCC#CCC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)CC1=CC=CC2=CC=CC=C12)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(=NC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N=C(O[H])C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(=NC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(O[H])C([H])(N=C(O[H])C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(=NC([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])(N=C(O[H])C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H],132101-88-3,5.46
[H]OC(N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N=C(O[H])C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C([H])C([H])(O[H])C([H])(N=C(O[H])C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
[H]OC(=NC([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(O)=NCCN1CCOCC1,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)CC1=CC=CC2=CC=CC=C12)C(=O)NC(CC1CCCCC1)C(O)CC(O)=NCCN1CCOCC1,132101-88-3,5.46
[H]OC(=NC([H])(C(=O)N([H])C([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12,132101-88-3,5.46
CNC(=S)NCC#CCC(N=C(O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
CNC(=S)NCC#CCC(N=C(O)C(CC1=CC2=CC=CC=C2C=C1)CC1=CC=CC2=CC=CC=C12)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(=NC([H])(C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C([H])(O[H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H],132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(O)=NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)CC1=CC=CC2=CC=CC=C12)C(O)=NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC(N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])=C([H])C([H])(O[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC=C2C=CC=CC2=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)C=C(O)NCCN1CCOCC1,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)CC1=CC=CC2=CC=CC=C12)C(=O)NC(CC1CCCCC1)C(O)C=C(O)NCCN1CCOCC1,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(CC1=CC2=CC=CC=C2C=C1)CC1=C2C=CC=CC2=CC=C1)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
[H]OC([H])(C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])N1C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C([H])(N([H])C(=O)C([H])(N([H])C(=O)C([H])(C([H])([H])C1=C([H])C2=C([H])C([H])=C([H])C([H])=C2C([H])=C1[H])C([H])([H])C1=C([H])C([H])=C([H])C2=C([H])C([H])=C([H])C([H])=C12)C([H])([H])C#CC([H])([H])N([H])C(=S)N([H])C([H])([H])[H])C([H])([H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],132101-88-3,5.46
c1c2ccccc2ccc1CC(Cc1c2ccccc2ccc1)C(=O)NC(CC#CCNC(=S)NC)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
c1c2ccccc2ccc1CC(Cc3c4ccccc4ccc3)C(=O)NC(CC#CCNC(=S)NC)C(=O)NC(CC5CCCCC5)C(O)CC(=O)NCCN6CCOCC6,132101-88-3,5.46
CNC(=S)NCC#CCC(NC(=O)C(Cc1cc2ccccc2cc1)Cc1cccc2ccccc12)C(=O)NC(CC1CCCCC1)C(O)CC(=O)NCCN1CCOCC1,132101-88-3,5.46
Nc1nc2c(ncn2[C@H]2CC[C@@H](CO)O2)c(F)n1,132194-21-9,-0.05
[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC3=C(F)N=C(N=C23)N([H])[H])C([H])([H])C1([H])[H],132194-21-9,-0.05
Nc1[n]c2c([n]c[n]2[C@H]2CC[C@@H](CO)O2)c(F)[n]1,132194-21-9,-0.05
Nc1[n]c2c([n]c[n]2C2CCC(CO)O2)c(F)[n]1,132194-21-9,-0.05
NC1=NC(F)=C2N=CN([C@H]3CC[C@@H](CO)O3)C2=N1,132194-21-9,-0.05
NC1=NC(F)=C2N=CN(C3CCC(CO)O3)C2=N1,132194-21-9,-0.05
[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC3=C2N([H])C(=N[H])N=C3F)C([H])([H])C1([H])[H],132194-21-9,-0.05
OC[C@@H]1CC[C@@H](O1)N1C=NC2=C1NC(=N)N=C2F,132194-21-9,-0.05
OCC1CCC(O1)N1C=NC2=C1NC(=N)N=C2F,132194-21-9,-0.05
[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC3=C(F)N([H])C(=N[H])N=C23)C([H])([H])C1([H])[H],132194-21-9,-0.05
OC[C@@H]1CC[C@@H](O1)N1C=NC2=C(F)NC(=N)N=C12,132194-21-9,-0.05
OCC1CCC(O1)N1C=NC2=C(F)NC(=N)N=C12,132194-21-9,-0.05
CC1=CCC2C(C1)C1=C(O)C=C(NS(C)(=O)=O)C=C1OC2(C)C,132213-88-8,3.12
[H]OC1=C([H])C(N([H])S(=O)(=O)C([H])([H])[H])=C([H])C2=C1C1([H])C([H])([H])C(=C([H])C([H])([H])C1([H])C(O2)(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],132213-88-8,3.12
CC1=CCC2C(C1)c1c(O)cc(NS(=O)(=O)C)cc1OC2(C)C,132213-88-8,3.12
CC1=CCC2C(C1)c3c(O)cc(NS(=O)(=O)C)cc3OC2(C)C,132213-88-8,3.12
CC1CC2C(CC=1)C(C)(C)Oc1cc(cc(O)c12)NS(C)(=O)=O,132213-88-8,3.12
[H]OC1=C([H])C(N=S(=O)(O[H])C([H])([H])[H])=C([H])C2=C1C1([H])C([H])([H])C(=C([H])C([H])([H])C1([H])C(O2)(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],132213-88-8,3.12
CC1=CCC2C(C1)C1=C(O)C=C(C=C1OC2(C)C)N=S(C)(O)=O,132213-88-8,3.12
[H]OC1=C([H])C(N([H])S(=O)(O[H])=C([H])[H])=C([H])C2=C1C1([H])C([H])([H])C(=C([H])C([H])([H])C1([H])C(O2)(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],132213-88-8,3.12
CC1=CCC2C(C1)C1=C(O)C=C(NS(O)(=C)=O)C=C1OC2(C)C,132213-88-8,3.12
[H]OC1=C([H])C(N=S(O[H])(O[H])=C([H])[H])=C([H])C2=C1C1([H])C([H])([H])C(=C([H])C([H])([H])C1([H])C(O2)(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H],132213-88-8,3.12
CC1=CCC2C(C1)C1=C(O)C=C(C=C1OC2(C)C)N=S(O)(O)=C,132213-88-8,3.12
CCCCCCCC(C)(C)c1ccc(C2CCCC(O)C2)c(O)c1,132296-11-8,7.18
